"vendorID","vendorName","region","street","city","state","postalCode"
"4LOVECHOCOLATE","For the Love of Chocolate","Richmond, Va","3136 W Cary St","Richmond","VA","23221"
"ADVANCEAUTOWBROAD","Advance Auto, West Broad","Richmond, Va","3321 West Broad Street","Richmond","VA","23230"
"AMAZON","Amazon","Online",,,,
"AUTOZONE","Autozone","Richmond, Va","3906 Richmond Highway","Richmond","VA","23224"
"BELMONTHBUTCHERY","Belmont Butchery",,"15 N Belmond","Richmodn","VA","23221"
"CABELAS","Cabela's","Richmond, Va","5000 Cabela Drive","Henrico","VA","23233"
"CHEWY","Chewy.com",,"Online","Online",,
"COSTCOGA","Costco Glen Allen","Richmond, Va","9650 West Broad Street","Glen Allen","VA","23060"
"COSTCOMID","Costco Midlothian",,"1401 MALL DR","North Chesterfield","VA","23235-4887"
"CUISINART","Cuisinart",,"Online","Online",,
"CVS","CVS","Richmond, Va","2400 East Main Street","Richmond","VA","23223"
"DARIO","Dario Health",,"Online","Online",,
"EDWARDSHAM","Edward's Hams of Virginia",,"11381 Rolfe Hwy","Surry","VA","23883"
"FAMILYDOLLAR","Family Dollar",,"2665 Hull Street","Richmond","VA","23224"
"FOODLION1318","Food Lion Jahnke Rd #1318","Richmond, Va","6409 Jahnke Road","Richmond","VA","23225"
"FOODLION1546","Food Lion Hull Street #1546",,"5620 Hull Street","Richmond","VA","23225"
"FOODLION1595","Food Lion W Broad #1595",,"7804 West Broad Street","Richmond","VA","23294"
"FOODLION1606","Food Lion Williamsburg Road #1606",,"2949 Williamsburg Road","Richmond","VA","23231"
"FRESHCHILICO","Fresh Chili Company",,"Online","Online",,
"GIANT","Giant",,"1900 Abbey Road","Charlottesville","VA","22911"
"GOOGLEFI","Google Fi",,"Online","Online",,
"GREENTOP","Green Top Hunt Fish","Richmond, Va","10150 Lakeridge Pkwy","Ashland","VA","23005"
"GSA","Girl Scouts of the Commonwealth of Virginia",,"3214 Skipwith Road","Richmond","VA","23294"
"INGLES","Ingles, Greenville TN","Tennessee","2845 Andrew Johnson Highway","Greenville","TN","37745"
"KROGER-504","Kroger, West Cary Street","Richmond, Va","3507 West Cary Street","Richmond","VA","23221"
"KROGERñEASTRIDGE","Kroger, Eastridge","Richmond, Va","1510 Eastridge Road","Richmond","VA","23229"
"KROGER-IRONBRIDGE","Kroger, Iron Bridge","Richmond, Va","10800 Iron Bridge Road","Chester","VA","23831"
"KROGER-LABURNUM","Kroger, Laburnum","Richmond, Va","4816 South Laburnum Avenue","Richmond","VA","23221"
"KROGER-LOMBARDI","Kroger, Lombardi","Richmond, Va","901 North Lombardy Street","Richmond","VA","23220"
"KROGER-STONEBRIDGE","Kroger, Stonebridge",,"7000 Tim Price Way","North Chesterfield","VA","23225"
"KROGERWILLOWLAWN","Kroger, Willow Lawn","Richmond, Va","1601 Willow Lawn Drive","Richmond","VA","23230"
"LOWES-WBROAD","Lowes","Richmond, Va","1620 West Broad Street","Richmond","VA","23220"
"MAIDENFORM","Maidenform","Online",,,,
"MICHAELS","Michael's","Richmond, Va","1601 Willow Lawn Drive","Richmond","VA","23230"
"NEWGRANDMIDLO","New Grand Market Midlothian",,"7415 Midlothian Turnpike","Richmond","VA","23225"
"OAXACA","Oaxaca Latin Market",,"610 North Shephard Street","Richmond","VA","23221"
"PETCO-STAPESMILL","Petco Staples Mill","Richmond, Va","9051 Staples Mill Road","Richmond","VA","23228"
"PETCO-WCARY","Petco West Cary Street","Richmond, Va","10 Nansemond Street","Richmond","VA","23221"
"PUBLIX","Publix","Richmond, Va","3535 Elwood Avenue","Richmond","VA","23221"
"RACKROOMSHOES","Rack Room Shoes",,"4501 S LABURNUM AVENUE SUITE 550","Richmond","VA","23221"
"ROSTOVS","Rostov's","Richmond, Va","1618 West Main Street","Richmond","VA","23220"
"SKYLINECHILI","Skyline Chili",,"4127 Bridgewater Pkwy","Stow","OH","44224"
"STAPLESWL","Staples, Willow Lawn","Richmond, Va","1601 Willow Lawn Drive, Suite 304","Richmond","VA","23230"
"TANA","Tan A Supermarket","Richmond, Va","6221 West Broad","Richmond","VA","23230"
"TARGET","Target","Richmond, Va","5401 West Broad Street","Richmond","VA","23230"
"TARGETRVAEAST","Target Richmond East","Richmond, Va","4521 S Laburnum Ave,","Richmond","VA","23221-2421"
"TOMS","Tom Leonard's",,"4150 Tom Leonard Drive","Glen Allen","VA",
"TRADERJOES","Trader Joe's",,"11331 W Broad St","Glen Allen","VA","23060"
"UNCHURCH","United Nations Church Food Bank Distro",,"214 Cowardin Avenue","Richmond","VA","23224"
"VALERO","Valero",,"2107 Semmes Avenue","Richmond","VA","23225"
"VATAX","Virginia Sales Tax",,"P.O. Box 1115","Richmond","VA","23218-1115"
"VS","Victoria's Secret",,"Online","Online",,
"WACOAL","Wacoal America","New York City","136 Madison Avenue, 14th Fl.","New York","NY","10016"
"WALMART","Walmart","Richmond, Va","2410 Sheila Lane","Richmond","VA","23225"
"WAWA","Wawa","Richmond, Va","3100 North Arthur Ashe Blvd.","Richmond","VA","23230"
"WEGMANS","Wegman's","Richmond, Va","12200 Wegmans Blvd","Henrico","VA","23233"
"WHOLEFOODSWBROAD","Whole Foods West Broad",,"2024 West Broad Street","Richmond","VA","23220"
"WORLDMARKET","World Market","Richmond, Va","11198 W Broad Street","Glen Allen","VA","23060"
